,리뷰
14,"주식은 어찌보면 1분안에 타이밍이 생길수 있는데 업데이트 소식도 없는데 주식창이 안켜지고, 찾아봐서야 업데이트가 있다는것을 알고 업뎃합니다. 불안전성이 편의성은 좋으나 그에 맞게 못믿겠다는 생각도 드는게 사실입니다. 사전공지가 필요합니다."
15,"어느 순간부터 갑자기 만보기가 ""해당 기기에서는 걸음 수 측정을 할 수 없습니다."" 라고 뜨네요... 휴대폰 기종은 z플립3인데 업데이트하면서 막아놓은건지 아니면 포인트를 일정치 쌓으면 안되는건지 답변 부탁드립니다."
16,토스..참 좋은 어플인거 같아요..추가되었으면 하는 기능이 있는데..토스증권 계좌로 총 입금한 금액이 얼마인지 나오면 좋을것 같아요... 조금더 추가 되면 좋을것 같은 내용이 있는데. 연도별 기업에 대한 상세 정보와 차트를 상세하게 볼수 있는 기능이 추가되면 좋을 듯합니다.
17,"정말 거지같음. 몇 번씩 오류나고 번호를 입력하라면서 입력키는 나오지도 않고, 다시실행 다시실행 무한반복. 배달앱 할인해준다는 명목으로 고객 유치하는거면 빠르게 실행가능하게 앱 준비나 해놓던가 바쁜 점심시간에 시간만 낭비하고 쓸데없이 스트레스만 받고 감. 다른 유사 서비스 앱 많으니 앞으로 토스? 이따위 앱 쓸 일 없을 것 같음. 좀 제대로 쓸수있게나 해놓고 홍보를 하시길."
18,"여태까지 토스 너무 잘 쓰고 있었고, 자잘하지만 포인트 쌓아가는 맛도 있었습니다 근데 최근에 업데이트를 실행한 이후부터, 온통 대전 카드( 하나은행) 와 지출 연동이 되지 않아 소비 내역에 구멍이 생깁니다. 그 전까지 잘 됐는데 갑자기 이 카드만 안 되네요. 업데이트를 안 했어야 하는지..ㅜ"
19,"토스앱 정말 잘쓰고 있어요. 자산관리에 큰 도움이 되고있습니다. 토스앱 사용중 추가되었으면 하는 기능이 있어 적어봅니다. 이번달 소비금액에 사용 리스트들이 쫙 나오는데 월별, 일별, 카드별 잘 정리되어있지만 내역 당 카테고리 추가가 됐으면 편하겠단 생각이 들더라구요. 예를 들어 첫째 교육비, 둘째 교육비 등 처럼 사용자가 카테고리 지정할 수있는 기능 추가 희망해봅니다:)"
20,송금을 지들 맘대로 금지시켜놓고 해제는 비대면인증을 하라하고... 신분증만 인증하면 될것을 메모지에 뭐를 써라하고 신분증 뒷번호는 가리라 하고 뭐 요구사항이 그리 많은건지 정말 모르겠다. 바쁜 고객들의 사정을 몰라도 너무 모른다. 최대한 간편하게 인증절차를 마치면 될것을 타은행이 안하는 짓꺼리를 하고 있다. 공인인증서 공동인증서 otp 등 다른 인증절차가 많은데... 현시국에 무슨 메모지를 활용한다는건지 일본을 닮아가려고 하는가보다.
21,잘 사용하고 있어요! 진짜 친구들이랑 더치페이 하기도 편하고 더치페이 계산 기능도 있고 너무 편리한것 같아요 그런데 종종 버그 뜰때가 있긴 한데 드물어서 괜찮은것 같아요 앞으로도 잘 애용하겠습니당
22,유용하게 잘사용하고있습니다 요청사항이 있어 메세지 남깁니다 대출시에 빌리기 버튼이 있는데 누르면 바로빌려질까봐 못 눌렀는데 버튼에 빌리기라는 문구 보다 대출 조회같은 문구를 써주면 저와같은 사람이 없을것 같습니다 좋은 서비스제공에 감사합니다 요청내용은 한번 검토해봐도 좋을것같습니다
23,"토스 잘 이용하고 있습니다.^^ 다만, 한가지 요청드리고 싶은 사항은 만보기 횟수 확인할 때 조그맣게 날짜 시간 표시가 있었음 좋겠어요. 요새 만보기 앱 인증 많이 하는데 토스로 인증할 수 있다면 더 만능적이고 만족스럽게 애용할 것 같아요!"
24,편리하게 사용중입니다 다만 토스팀에 한가지요청 드립니다 제가 눈이 안좋아서 모바일기기자체 텍스트를 가장크게 사용하고있는데 그 때문인지 해상도 문제로 확인이 안되는 페이지들도 몇 군데 있습니다 예를 들면 스크롤 아래 내용들이 더있는것 같은데 텍스트 크기 때문인지 스크롤이 더 이상 안되는 같은 내용 등... 개선되면 더 좋을것같습니다
25,자주쓰는계좌 저장 기능과 여러계좌 같이 보내기 기능이 있으면 좋겠어요. 그전에 보낸 계좌가 없어져서 일일이 다시 입력해야 하고 계좌한번에 하나만 보내니 너무 번거롭고 불편해요.
26,"잘 사용하고 있습니다만, 하나 여쭤볼게요. 예전에는 각 카드마다 적립된 카드 포인트가 보였고, 그 포인트를 일괄적으로 제 계좌로 송금하는 기능이 있어서 좋았거든요 . 그런데 업데이트 하고 나서 그 기능이 아예 안보여요. 아무리 다 뒤져봐도 안나오네요. 아예 없앤건가요?"
27,"업무제안합니다. 펀드를 사면 시가총액 top100 이런걸로 하고싶은데 수수료가많이 나가서, 펀드말고 직접 종목을 사고싶은데..///예를들면.. 시총순위에서 1~30위까지 일괄 매수, 체크박스 체크한 종목별,평가금액 10만원 이내 최대 좌수, 매입가격 현시세로 설정 ,만약 매수가 안됬다면 안된 종목띄워주고.. 안된거 구매할껀지 이대로 매수완료 할껀지 팝업나오고.. /기능 개발이 가능할지 궁금합니다! 일괄매도 또한 같이 가능할까요. 요지는 1위부터 특정 순위까지 주식을 일괄매수를 하고싶어요!,!"
28,"간편해서 너무 좋아요~ 여러 기능들에 쉽게 접근이 가능하고, 특히 주식이 다른곳에 비해서 너무 편리해요^^"
29,게으름을 피우고 하기싫은 운동을 조금이라도 하고자 하는 작은 재미가 있게 만들어요 그래서 참좋으며 도움이 많이 됩니다.
30,업데이트 이후 매우 불편하게 바뀌었습니다. 마이데이터 서비스는 무슨 베타 수준의 서비스를 가지고 업데이트를 해서 잘 사용하고 있던 계좌를 다 사라지게 만들어서 왠만하면 탈퇴하라는 계시인가요. 마이데이터 가입 하고 싶지 않아도 강제 가입안하면 사용 못하게 하려는 업데이트 정책 잘 보았습니다. 그리고 마이데이타 사용하게 하려면 좀 테스트는 하고 출시하기 바랍니다. 기관 오류 나서 계좌 조회가 안 되는 곳이 수두룩 합니다. 다시 예전으로 돌리든지 아니면 좀 테스트 완료후 업데이트 부탁합니다.
31,전까지는 잘만 썼었는데 어느 날부턴가 갑자기 로딩이 안되거나 매우 느리며 내역 확인이 안됩니다. 정말 잘 쓰고있는데 갑자기 이렇게 돼서 너무 화가나네요. 잔액 역시도 제멋대로 바뀌거나 내역 내용이 빠져 더욱 혼동을 주며 다시 재로딩을 해도 바뀌는건 없네요. 빠른 시일 내에 고쳐졌음합니다.
32,정말 토스라는 앱이 출시 되고 난 후 엄청 잘 이용하고 있습니다 저는 별점을 더 드리고 싶지만 5가 최대..ㅜㅜ 정말 업데이트랑 꾸준히 앱 관리를 꾸준히 하고 있는거 같아서 정말 좋은 앱 인 것 같습니다!
33,너무 잘 사용하고 있는데요! 혹시 자신이 원하는 금액으로 매일 저금이 되는.. 게 있잖아요. 그걸 매일이 아닌 사용자가 지정한 요일/날짜 마다 채우게 할수는 없을까요..!
34,업데이트하고 나서 홈에 소비 메뉴가 생겼는데 어떻게 없애나요? 기존처럼 자산을 최상단에 띄우고 싶어요. 최하단에 고정해놓을거면 굳이 맨 위에도 따로 빼둔 이유가 뭔가요.. ㅡㅡ
35,앱은 너무 좋습니다 잘 사용하고 있어요 근데 플레이스토어에 들어오면 항상 업데이트가 떠 있고 자동업데이트를 켜놨는데도 업데이트가 되지 않아요 제가 버튼을 눌러도 안되는지 다음날 또 떠있구요 뭐가 문제인지 모르겠어요..
36,토스파킹 통장 매우 좋아요.. 높은 이자와 자유로운 입출금 아주 만족 합니다. 다만 한가지 불편한게 있어요.. 이체한 계좌에 별도로 명칭을 입력할수가 없네요.. 매월 여러건 이체를 하는데 명칭으로 구분할수 있으면 좋겠어요..
37,편리하게 잘 쓰고 있습니다. 그런데 며칠 전부터 카드사용내역이 업데이트가 안되네요. 우리카드 사용내역이 8일자로 멈춰있습니다. 혹시 몰라서 앱 업데이트도 마쳤고 우리카드 마이데이터 연결도 확인했습니다. 무슨 문제인지 모르겠네요. 해결 부탁 드릴게요.
38,"생체인증 수단 선택되도록 해주세요. 휴대폰 잠금으로 지문인식 사용중일때는 토스에서도 지문인식으로 인증되었는데요. 휴대폰 잠금으로 지문인식이랑 얼굴인식 두가지 모두 설정해두니, 토스에서는 무조간 얼굴인식만 사용가능하네요. 다른 뱅킹앱은 선택 가능하던데, 토스에서도 사용자가 선택가능하도록 해주세요."
39,갈수록 만보기 주변 장소 가기 장소가 줄어드네...ㅉ 그래도 어제까진 주변 돌면 5곳 채울 수 있었는데 오늘은 아예 3곳 밖에 없네...갈수록 없앨거면 그냥 아예 없애지 있던 곳이 없어지면 새로운곳이 늘던가...새로운 곳은 안생기고 현상 유지도 안되고 그나마 있던 곳도 계속 없애니 못해먹겠네...그냥 주기 싫으면 없애요...이제는 장소들이 걸어서 갈 수 있는 거리도 아니네...이젠 주변 공원들도 다 빠졌네 ㅅ8
40,송금 할 때 수수료가 무료여서 좋고 만보기나 퀴즈 이벤트로 소소하게 돈이 벌리는 부분도 좋음.(업비트에 상장된 비트토렌트(0.0024)같은 가격이 낮은코인으로주면 더 많은 사람들이 하지 않을까 제안해 봄) 금융정보를 한번에 조회하는 부분도 편하고 등본 초본을 간단히 발급되는 부분도 좋은거 같음.
41,"직관적이고 기능이 다양해 편리하게 잘 사용하고있습니다. 감사드려요! 다만.. 혹시 입,출금 뒤에도 메모를 할 수 있도록 해주실 수 있나요..? 메모를 남기고 싶은데 출금할 때 빼고는 메모기능이 없어서요ㅠㅠㅠ!!"
42,"사용자 편의성을 중시하는거 같은데, 실망스러운 부분이 있어 답답해요. 너무 편의를 중시해서 신분증 입력을 카메라로 받는거 같은데.. 그냥 수기입력도 가능하게 해주셔야죠. 카메라가 잘 안되는 환경이 있거나 오히려 밝기문제 등으로 불편하단걸 고려못하시나요? 이미지 데이터 수집을 위해서인건지 왜 카메라사용을 강제하나요. 이 불편함때문에 공인인증도 못맏고 새해를 맞이하겠네요. 편의를 위해 선택권도 없애진 맙시다"
43,항상 잘 사용하고 있습니다 하지만 몇일전부터 증명서를 떼야하는 상황이 생겼지만 원래 살고 있는 지역이 아니고 일하는 시간이 더 많고 쉬는 날이 없어서 토스를 이용하여 증명서를 뗄려고 했지만 계속 점검중이라고 나오네요 언제쯤이면 이용할 수 있나요 ??
44,잘 사용하고 있었는데 마이데이터 도입 후 조금 불편해요. 숨긴 계좌 잔액도 총 잔액에 합산해서 보였으면 합니다. 예전에는 안 그랬었는데 업데이트 후 바뀐 것 같네요. 그리고 이제 모든 저축은행 계좌 지원이 되었으면 하는데 아직 일부만 되네요. 마이데이터 도입 초기라 그런가요. 빠르게 정착됐으면 합니다. 그 외에는 깔끔하고 편리해서 잘 사용하고 있습니다.
45,토스 정말 잘 사용하고 있고 좋긴 한데... 오픈채팅방 이용제한이 걸리면 제한기간은 어느정도인지 다시 이용할 수 있는지 궁금한데 그걸 알려주지않네요;;; 개선 부탁드립니다.
46,"뱅크, 주식, 만보기 잘 사용하고 있습니다. 편리하고 좋아요! 그런데 최근에 업데이트하고나서 행운퀴즈가 보이지않습니다. 삭제후 다시설치해도 보이지않습니다. 어떻게 확인가능한건가요?"
47,"사용하기 편하다는게 가장 큰 장점입니다 다만, 한가지 아쉬운 부분이 있다면 송금보낼때 200만원 제한이 있다라는것입니다 물론, 실수 및 도난의 위험때문에 가격제한이 있는것은 이해가 가나 큰 금액을 송금하려고 하면 가지고 있는 은행앱에서 송금해야하는 번거로움이 있습니다 보안상으로 좀 더 엄격하게 해주시고 송금의 한도를 올려주시면 사용하기 편할것 같습니다"
48,"토스 잘 사용하고 있어요! 다만 한가지 건의하고 싶은 점은 월 별로 소비내역 확인할 때 메모도 같이 하면서 거의 가계부처럼 사용하고 있는 데, 유난히 많이 쓴 날을 볼 때는 다음에는 이렇게 충동소비하지 말아야지라고 생각하게 되더라고요. 하지만 생각하는 것 보다는 글로 적어보는 것이 도움이 될 것 이라고 생각하거든요. 그래서 한 주간 소비에 대한 성찰이나 다짐등을 적는 부분이 추가되었으면 합니다! 그러면 더 의미있는 소비 생활을 할 수 있을 것 같아요!😁"
49,토스 간간히 잘 이용하고 있습니다. 증권이며. 내 자산 한눈에 볼수 있어서 정말 편합니다.. 또한 타행 송금수수료도 무료라는 점도 매력입니다.
50,편리하게 잘 사용하고 있습니다. 전에는 카드사용충족에 맞는 잔액을 표기해주어서 너무 좋았는데 사라져서 너무 아쉬워요. 다시 해주시면 안될까요??!
51,"마이데이터 된 건 그렇다고 치는데 적어도 있던 기능이 사라지면 안 되는 거 아닌가요?? ㅠㅠ 주택청약통장 들어가면 보이던 청약 알림 기능도 안 보이고, 타사 카드 실적 확인 기능도 사라지고... 국민지원금이야 지금은 사라졌지만 지원금 잔액 표시도 안 됐었던 거 같아요. 이렇게 첫날부터 급하게 전환할 필요가 없었을 것 같은데 솔직히 아쉽네요..."
52,"⭐⭐진짜 신세계ㅡ! 토스+토스뱅크를 알게된 후 편리한 재정 관리의 맛을 보게되었어요! +이제 카드 소비내역을 내가 지정한 기간별로만 볼 수 있으면 완벽★ 카드 결제일에 따라 정산기간이 다른데, 토스 소비내역이 월별로만 볼 수 있어서 조금 불편하더라고요! +메모 기능 추가되면 더 완벽★ 재정목표를 기록하거나 월별 특별한 소득이 있으면 메모를 해두고 싶은데 이거까지 추가되면 다른 어플 다 필요없고 토스만 쓸 듯 하네요👍🏻 열일해주셔서 감사합니다‼️"
53,그동안 잘 사용해왔는데 마이데이터 업데이트 후로 우리카드가 안떠요. 우리카드가 카드이름도 없이 BC카드로 뜨는데 누르면 카드연결 안내나오고 다시 연결해봐도 찾는카드가 없다고만 나와요. 그리고 계좌 출금내역도 업데이트가 느려요. 새벽에 출금되서 메인화면에서 총 잔액에는 반영이 됐는데 상세내역은 새로고침을 몇번해도 출금내역이 안나오다가 뒤늦게 업데이트가 되네요. 여러가지로 업데이트 후 버그가 많아졌습니다.
54,나날이 발전해나가는 앱... 토스 앱은 매일 기대를 가지고 사용하게 됩니다. 만 19세 미만 마이데이터 제한으로 인하여 마이데이터 조회가 불가능하게 된 시점에도 불과 3일 만에 토스뱅크의 오픈뱅킹으로 우회하여 데이터를 조회할 수 있게 구성한 방식에 감동받았습니다. 앞으로의 행보가 기대되는 기업 중에 하나입니다.
55,토스 포인트 혜택으로 회원가입하면 800원주는게 있었는데 그전부터 포인트 준다고 하면서 지급이 안됐습니다 미션 완료하면 지급이 안될때가 많았거든요 그래서 사진도 캡처하고 자세히 글과 사진으로 문의 했었는데 읽는건지 않읽으시는건지 한번도 지급안된 포인트가 지급되지는 않았네요 이번까지 4~5번인거 같아서 답답해서 글을 올립니다.. 왜 보상해주진 않는건가요 고객센터 문의넣어도 묵묵부답입니다..
56,송금시 수수료 안내도되고 너무 편리하게 잘 쓰고있습니다 근데 한통장의 연결계좌잔액이 잘못표시되고 있는데 그건 왜그런지 모르겠어요 그외에는 만보기 기능도 있고 아주 잘쓰고 있습니다 편의점 이용시 캐쉬백되는혜택이 이달말까지인걸로 아는데 내년까지 연장해주셨으면 좋겠어요
57,일단 평생 수수료 무료 선언을 한게 제일 파격적이면서 저의 입장에서 매우 좋네요. 요새 시장 같은 곳은 카드 안받는 대신 계좌이체로 받는 곳도 많아졌고 그거 외에도 일상생활에서 이체할일이 급격히 많아진 시대라서 수수료 하나하나가 부담이 됐고 누적되면은 수수료도 꽤나 큰 돈인데 평생 수수료 무료는 꽤나 파격적이고 좋은 거 같습니다. 그거 외에도 증권도 생기고 토스은행도 생겨서 더 좋아진거 같고 계좌를 한번에 모아서 보는 거도 편합니다.
58,"너무 잘 사용하고 있는데요.. 갑자기 업데이트 이후에 마이데이터? 그게 뭔가요... 모든 계좌 자산관리? 다 되고 좋은거 같은데, 주거래계좌(농협)만 계속 마이데이터로 하라고 나오는데 동의를 계속 눌러도 잔액조회가 안되네요ㅜ 도대체 어떻게 해야되는건지... 처음으로 너무 답답함을 느낍니다.."
59,"편리하고 좋은데, 토스 프라임 가입 기간동안 쌓은 적립금을 해당 기간 단위(한달)로 볼수있으면 좋겠어요. 한달 5900원씩 결제하는데 그 이상의 포인트를 쌓고있는건지 한눈에 가늠하기가 어렵네요. 네이버 멤버십처럼 해당 사용기간 중 적립한 금액과 최대한도를 보여주면 좋을것같아요."
60,토스 간편하게 잘 이용하고 있습니다! 근데 토스 퀴즈할 때 저만 힌트 초성 다르게 나오고 힌트 페이지에 접속이 안 되는 건가요ㅠㅠ 이 부분만 개선되면 좋을 것 같습니다~
61,데이터 사용량이 엄청나네요 한달에 전체 6기가정도 사용하는데 이중 토스가 차지하는 사용량이 월평균 2기가를 잡아 먹네요. 하루에 3~4번정도 이용하는데...고객센타에서도 다른사람과 비교해서 그정도 되는게 정상이라고 함. 많은 데이타를 차지해서 고민중이라고 와이파이 영역에서 사용하라 함. 백그라운드 차단했고 방금도 마케팅알람까지 모두 철회해뒀어요.그래도 소용없다고 하는데 어찌해야할지 진짜 고민이네요.
62,토스증권을 잘 이용하고 있는 사람 입니다. 최근 들어 해외주식 거래가 시작되었는데 국내 주식이랑 한군데서 표기가 되고 관심주식 또한 같이 표기가 되어서 가시성이 떨어집니다. 분리하는게 좋아보입니다. 그리고 관심 종목을 정해 놓는데 이 종목안에서도 그룹 정리를 하게되면 더욱 더 편리 할 것 같습니다.
63,처음나왔을 때나 간편했지.. 지금은 너무나도 복잡하고 메뉴는 많은데 어디에 뭐가있는지 찾을 수 없는게 기존 은행앱이랑 다를게 없음. 심지어 공인인증서 한번 만료되었다가 재연결하는데 너무너무 피곤하고 짜증나게 만들어져 있어서 과연 대한민국이란 생각이 들었음. 그런데 업뎃 이후 또 연결하라고? 심지어 푸시 알림 계속 보내서 스팸앱이랑 다를게 없음. 삭제 및 이용 안하는 것을 권장 함.
64,편하게 잘 쓰고 있는데 지난주부터 앱 사용화면에서 혼자서 자꾸 무한 새로고침이 됩니다. 그래서 송금을 하려고 해도 자꾸 계좌 선택 페이지로 돌아와서 활용을 하기가 어려워 졌습니다. 업데이트 문제인가 했는데 구글플레이들어와보니 최신 버전 인거같은데 무슨 문제인지 잘 모르겠어요 ㅠ 확인 부탁드립니다
65,"안녕하세요 이미 토스내에 수많이 좋은 기능들이 있고 또 출시중이지만, 한가지 추가 건의드려요. 앱내에 가계부 기능이 선택적으로 추가되었으면 좋겠어요. 여러앱들을 깔아보고 사용해보려고 하는데 모두 계좌와 카드 문자내역과 연동을 해야 하거나 직접 수기로 입력해야 하는데, 연동의 경우엔 사실 앱을 만든곳이 믿을만한지 부터 시작해서 좀 의심쩍어 사용을 안하게 되더라구요. 토스는 모든 자산과 증권 투자내역을 한눈에 볼수있게 되어있어서 여기에 일부 기능만 조금 추가하면 별도의 가계부앱을 사용하지않고 토스의 사용시간이 더 늘어날 것 같네요. 개인적으로 토스가계부가 생기면 좋겠다는 큰 바람과 마음으로 의견내봅니다."
66,UI/UX 다 좋고 정말 만족하며 쓰고 있는데 한가지 바꿔주셨으면 좋겠는 부분이 있습니다. 저는 만보기 기능이 재미있어서 운동할겸 한달 목표를 잡고 포인트도 받아서 커피한잔값도 모으곤하는데요. 어머니도 운동좀 하셨으면 좋겠어서 한달뒤에 커피 한잔 하시자고 깔아드리기도 했습니다. 기능이 좋아 주변 지인들에게 보여주면서 알려주기도 했습니다. 그런데 만보기를 켠 상태에서 뒤로 가기 버튼을 누르면 제 잔고가 훤히 보여 매우 난감한 적이 있었습니다. 가족끼리도 자산은 공유하지 말라하는데 말이죠... 마이데이터까지 활용하면 그냥 모든것이 다 보여요. 그래서 설정을 찾아보고 앱을 잠궜는데 만보기까지 연동되어서 만보기 포인트 받기 기능활용하려면 매번 로그인절차를 하기도 불편해요. 앱 상단 고정 기능으로 만보기를 활용할수 있도록 자산 계정 안보이고 따로 활용할수 있게 변경해주시면 좋겠는데 어떻게 생각하시나요?
