,리뷰
20,포인트 자동적립은 어려울까요? 지정되 장소에 가면 자동적립이 되었으면 좋겠습니다. 보행시 사고로 이어질 수 있을거 같아요. 거다가 핸드폰 보고 토스 열고 포인트 적립 조금 어럽습니다. 개선해주세요.
21,자산연결하고 숨어있던 포인트를 찾았네요 감사합니다 다른곳보다 쉽게 구성되어있고 보기좋게 간단히 구성되어 있어서 사용하기가 아주 편하고 좋습니다 근데 연결된 자산상태의 상세내용을 열어보고 싶은데 잘 못찾겠네여ㅠ 정신차리고 다시한번 찬찬히 찾아봐야겠어요-보다 쉽게 찾을수 있으면 좋겠습니다
22,"매일 이자 받는거 너무좋고 수수료 없는것도 너무 좋은데, 정말 토스쓴후로 스팸 전화가 너무 많이 와요 20년 넘게 쓴 번호를 바꾸고 싶을정도입니다 그래서 토스에 문의를 드렸더니 토스는 개인정보를 관리를 잘하고 있다고 하더군요.. 검색해봤더니 개인정보 유출 된 ..히스토리가..기사가 여러개 있더군요.. 정말 좋은 데, 개인정보 좀 강력하게 보안해주시면 좋겠습니다"
23,뱅크샐러드가 며칠 전부터 너무 이상해서 토스로 갈아탔습니다. 아직까지는 쓸 만하네요. 그런데 소비 내역 카테고리 편집이 되지 않아 불편합니다. 지금은 안 쓰는 카테고리가 너무 많고 지나치게 세분화되어 있어요. 예를 들면 카페/간식 카테고리는 아예 없애고 싶은데 그런 식의 편집이 안 돼서 아쉽습니다. 다음 업데이트 때는 기존 카테고리 편집/삭제 기능도 생겼으면 좋겠네요.
24,"토스 잘 사용하고 있는 만 14세 미만이에요. 다 마음에 드는데 좀 아쉬운 점이 있어요. 첫번째는 토스 유스카드 교통카드에 충전할 때 레일플러스가 되는 편의점에서만 충전이 되는 것 같더라고요. 티머니 같은 곳과 협력해서, 모든 편의점. 기왕이면 온라인에서 충전할 수 있으면 좋을 것 같아요. 덧붙이자면 토스머니도 ATM기 같은 곳에서 현금으로 충전할 수 있으면 좋겠구요. 두번째론 카드 종류, 디자인이 좀 더 다양해졌으 면하는 바람이에요. 정말 마음에 드는 앱이고요, 편한 사용을 위해 매번 노력해주셔서 감사합니다:-)"
25,"만보기 안된다고 질문드렸었는데요,, 갤럭시 z플립 사용중이고 만보기 계속 해오던 거였습니다 그런데 갑자기 안되기 시작해요 이게 무슨 경우인가요 재부팅 여러번, 알림설정, 위치활성화, 배터리모드 모두 변한것도 없고 다 그대로인데요 이 기기에서 안된다고 그냥 답변을 달아주시면 어떻게합니까 그럼 z플립 사용자는 토스 만보기가 모두 안된다는 건가요? 해결책 부탁드립니다"
26,하나만 개선 부탁드립니다 우선 앱은 너무 유용하게 잘 사용하고 있습니다 근데 요즘 들어 토스 만보기 기능이 잘 실행되지 않습니다 알림창 스크롤하면 자동으로 떠 있어야 할 토스 만보기가 실행되지 않아 다시 토스로 들어가서 만보기를 눌러야만 다시 알림창에 뜹니다 이마저도 또 다시 사라지기 일수라서 조금 불편하네요..ㅠ 이 점에 대해서 개선 부탁드립니다
27,토스 시각적으로 잘 정리되서 보기좋아 잘쓰고 있어요. 또 하나 이체시 보내는이름 수정이 안되는데 문구수정 가능하게 바뀌었네요. 고객의 니즈를 많이 반영해줘서 좋네요. 2022.4.4현재 불편한건 토스뱅크서 메모 남긴거 다른은행처럼 바로 보였음 좋겠어요. 소비에서 봐야하는게 너무 불편합니다.
28,"토스로 주식 기능을 유용하게 잘 사용 중입니다. 국내든 해외든 주식을 살때, 현재 가지고 있는 원화 및 달러를 보여주는 기능이 있으면 좋겠습니다. 항상 구입 전 달러가 얼마나 있는지 확인하고 구매를 해야해서 불편합니다. 감사합니다."
29,"조회 기능 중에 버그가 있습니다. 내수익율 자세히보기 버튼을 누르고, 다음 화면에서 판매수익 버튼을 누르고 들어가면, 위에 월별 판매수익 리스트버튼이 나옵니다. 리스트버튼을 통해 주식리스트를 조회하고 리스트가 여러건이 조회되는 건중 하나를 선택해서 상세조회하면 대상건 상세조회가 나오는게 아니라 위아래 다른대상 상세조회 내용이 나옵니다. (리스트대상이 많은 월 선택시 해당 증상이 나옴) 신속히 수정해주세요~~"
30,토스 이용 편리하여 평소 매우 자주 사용합니다. 이번에 크게 실망한 부분이 있습니다. 대출 메뉴에서 소비자 기망행위가 있습니다. 대출한도가 특정 은행만 높게 출력되어 결국 그 은행으로 소비자가 유인되어 가입하고 계좌개설하는 행위를 하게 됩니다. 그 후 은행 앱에서 실제 대출한도 조회하면 토스에서 원래 출력된 다른 은행 한도하고 유사합니다. [부산은행] 대출한도 정상 출력되도록 조치 바랍니다
31,사용 후기로만 표현하기가 좀... 한번만 사용해 봐도... 편리함을 제대로 느낄 수 있을 것이라 확신하고... 몰라서 안쓰는 경우는 있어도... 지금 이런 기능 편리함과 혜택을 계속 유지하며 업그레이드 하길 바라며... 사용 소감은 베리베리 굿...
32,"입대 이후로 이용방식이 달라져서 갑자기 민증 사진을 찍으라네요...군대에 있는 상황이라 카메라 사용, 컴퓨터 사용 모두 제한되는데 어떻게 사용하라는건지 당최 감이 안옵니다. 마이데이터고 토스인증서고 다 없애버리던지 군인들 배려로 다른 방법을 만들어 주던지 했음 좋겠어요"
33,"내 주식 목록 과 관심 종목들이 현재 내림차순으로 정리되는 바, 사용자의 편의에 따라 순서를 정렬할 수 있도록 수정바랍니다. 또한 토스 앱을 열때 비번을 입력하도록 약간의 보안절차 설정을 희망합니다. 잠금화면으로 할수는 있으나 토스의 간단한 보안절차필요."
34,토스에서 딱 하나 부족했던게 자산연동 정보였는데 해당 기능도 추가되고 사용자 경험이 다른 핀테크 어플보다 좋음. 사소한거지만 데이터 연동할때도 스크롤 하나만으로 가능하고 원하는 정보를 찾는것도 편함.
35,안녕하세요. 잘 사용하고 있습니다. 한가지 개선되었으면 하는점은 가계부기능을 잘 사용하고있는데 다른 가계부처럼 한달 기준을 일자별로 설정할 수 있으면 좋겠습니다. 급여가 20일이라 20일부터 다음달 19일까지 사용내역을 알고싶은데 월 기준이라 조금 불편합니다. 감사합니다.
36,"토스 메모 기능을 너무 잘 쓰고 있는데요. 출금 직후 남긴 메모는 토스뱅크 통장 내역에서 확인 가능한데, 내소비에서 별도로 남긴 메모는 통장 내역에서 보이지 않아 불편함이 있습니다. 동일 영역에서 보일 수 있게 개선되면 더 좋을 것 같습니다."
37,"토스증권 잘쓰고있습니다 다만 지금 인터페이스를 조금더 정보제공을 해주십사 부탁드려봅니다 예를들어 코인어플 업비트만큼은 안되더라도 당일고가. 당일저가. 전일종가 일별차트나 호가창에 수익+-% 표기를 같이 넣어주시면 좀 편하게볼텐데 토스가 좋은건 전에쓰던 증권사어플보다 깔끔해서 쓰고있는데 정보제공면에서 불편하게 느껴집니다ㅠㅠ 혹시 개선이될런지는 모르겠지만 송금용으로만 쓰게될까봐ㅡㅡ, 그럼 개발자,운영자님들 수고하시고 건강하세요^^♡"
38,"토스 정말 잘 사용하고 있어요^^ 이자 2%와 퀴즈, 만보기는 저의 소확행 중에 원탑이예요ㅎ 한가지 요청드리고 싶은것은 모으기를 30개에서 더 확대해주었으면 해서요ㅎㅎ(적어도 40개이상) 소액이지만 풍차돌리기 적금 같은걸 해보니 30개가 금방 꽉 차네요;; 빠른 시일내에 적용되기를 바래봅니다~"
39,토스를 사용하고 있는 유저입니다. 정말 잘사용하고 있어요! 수수료도 부담없고요! 하지만 현금으로 충전할 수 있는기능이 있었으면좋겠어요! 편의점 기프트카드와 비슷한방법으로 복잡하지 않은 토스머니 충전이 가능했으면좋겠습니다! 감사합니다! 번창하세요😊
40,토스 정말 잘 쓰고 있습니다 특히 다른 은행 앱에서는 어려운 부분을 쓰기 쉽게 잘 만든 것 같아요 다만 한가지 건의드릴 사항이 있습니다 토스뱅크 모으기에서 모으기들을 꾹 누르고 드래그를 하면 순서가 바뀌는기능이나 순서 편집이 되면 좋겠습니다 감사합니다
41,토스 잘 이용하고 있습니다. 그런데 최근 소비내역을 보려는데 카드가 분명 연결됐는데 터치해도 화면이 나오질 않고 계속 팅기네요 혹여 확인 하시고 조치해주시면 감사하겠습니다.
42,최근 오류가 너무 심합니다. 결제화면으로 넘어갈때 튕기는게 한두번 그러는 것도 아니고 매번 그러니 불편합니다. 심지어는 선착순 쿠폰을 사용할때도 이래서 쿠폰을 사용하지도 못했는데 사용한거로 인식이 되버리더군요. 빠른 개선 바라며 당분간 토스는 사용 못할 듯 싶네요.
43,"어느샌가 업데이트 하고 나서 수입,지출이 분리되어 전시되는게 너무 불편해요. 예전에는 달력에 총 수입,지출 다같이 표기해줘서 한번에 보기 편했는데 이제는 수입 따로 지출 따로 확인해야 해서 너무 불편해졌어요. 이전 버젼으로 롤백은 안되나요?"
44,"한눈에 보기 좋고 사용하기도 쉬워서 무척 애용하고있는 어플입니다. 다만 언제부터인가 카드에서 자동결제되는 소비가 지출에 안뜨네요?ㅠㅠ 모든 카드사가 그런지는 모르겠는데 저같은 경우 ""삼성카드""에서 자동결제되는 ""skt통신비""와 ""교통비""가 지출에서 누락됩니다.. 카드를 다시 연결하려해도 이미 연결되었다하고, 고정지출에서 수기로 넣어볼까도 했는데 불가능합니다. 어떻게 해야할까요?"
45,정말 너무 유용하고 편리하게 잘 사용하고 있습니다. 수수료를 무료로 해주신 덕분에 송금도 너무 잘 이용하고 있고요. 그리고 토스뱅크와 토스증권 서비스도 번잡스럽거나 너무 복잡하지 않게 꽤 간결하고 직관적으로 깔끔히 잘 정돈된 느낌으로 만들어주셔서 이용함에 있어 굉장히 편리하게 잘 사용하고 있습니다. 앱 로딩등의 앱 반응속도도 그렇게 너무 느리지 않고요. 토스 덕분에 정말 너무너무 편리합니다. 감사합니다. ㅎㅎ ^^
46,"잘 쓰고 있습니다만, 며칠전부터 하단메뉴중에 [혜택]부분만 누르면 자꾸 앱이 꺼지면서 [토스 앱을 중지했습니다]라고 뜹니다. 폰을 다시 켜봐도 같은 현상이고, 앱 지우고 재설치해도 같습니다ㅠ"
47,사진찍어 송금하기 정말 끝내주는 유용한 기능인데 바로가기나 위젯같은게 있어서 쉽게 접근할 수 있으면 좋겠네요. 그 외 다른 부가 기능들도 접근성이 아쉽습니다.
48,"빠른송금은 굿입니다..그런데요, 몇년 전에 토스 통해서 테라펀딩에 투자해서 원금 500날렸습니다..피해자가 많으니, 토스에서는 조용히 감쪽같이 사라졌더군요..투자는 자기 판단이지만, 소개 자체를 안해줬으면 손실 자체를 안봤을텐데..참...휴대폰비용 꽁으로 내다가, 원금 전체가 날라갔네..에휴..."
49,"이전에는 거래하는 은행의 인증서를 발급받아 토스에 인증해야만 해당 은행 계좌를 등록 및 관리할 수 있었지만, 업데이트된 토스는 토스 인증서를 통해 신속하게 모든 은행의 계좌를 파악하고 관리할 수 있게 해줘서 좋습니다. 토스 만보기도 좋습니다. 저에게 토스는 혁명적인 어플인 것 같습니다. 고맙습니다. 제 삶을 편리하게 해주는 어플입니다. 안전하고 보안만 잘 된다면 앞으로도 꾸준히 이용할 겁니다."
50,"(건의) 카드 대금을 미리 모으기 기능으로 분류해두는데 인터페이스가 많이 불편합니다. 금액 입력 시 좌우 스크롤보다 직접 입력이 먼저 활성화되었으면 좋겠고, 바로 별명을 지을 수 있으면 합니다. 지금은 생성->박스클릭->관리->별명으로 가야해서 번거롭습니다. 모으기 탭에서 박스들 선택 삭제 기능도 있었으면 합니다."
51,토스 관계자님 이번 업데이트후 토스나 토스만보기 같은것을 사용하고 토스앱을 종료시켰는데도 불구하고 폰 위치표시가 꺼지질 않습니다~이번 업데이트 전에는 사용할때 자동으로 위치켜지고 종료 할때는 잘꺼졌습니다~이번 업데이트후 전처럼 안되고 계속 위치켜져 있어 폰배터리 엄청 빨리 소모합니다~수정 바로 부탁드립니다~
52,요근래 만보기로 참 유용하게 쓰고있는데요 이런 기능이 있으면 참 좋겠다 싶어서 적어봐요 음 그날그날 받은 포인트 합계가 날짜칸 끝에 나오면 참 좋겠다 싶어요 그거 보면서 이때는 좀 많이 받고 접때는 못받았네 하면서 확인하면 참 좋을듯 싶어서요 소소하지만 행복해서 꼭 넣어주셨으면 하는 기능이네욥 그외엔 참 잘쓰고 있어요♥
53,"토스를 잘 사용하고 있습니다. 한가지 잘못된 것은 만보기를 사용할 때 실제 존재하지 않는곳, 길도 없는곳이 지정되어 있습니다. 도착해보면 입구도 없는 산이랍니다."
54,대체로 만족합니다.아쉬운점은 공간이 부족하시더라도 국내나해외 시황도 실시간으로 추가해주셨으면합니다.일일이 네이버 증권을 그때그때 클릭해서 보는게 좀 불편합니다.
55,다 좋은데요 .. 채팅버그가 있는거같아요 ! 채팅을 치면 끝글자가 앞으로 오는 버그에요 예를들어서 ( 안녕 ) 이라고 치면 자동으로 다음 채팅에 ( 녕 ) 이 붙어요 ㅜㅜ
56,ATM에 가서 돈 인출했던 내역을 지출 합계에서 제외하고 싶은데 '네트워크 또는 서버에 문제가 발생했습니다. 잠시 후 다시 시도해주세요.' 라는 에러 메시지만 뜨고 제외가 되지 않아요. 그 외엔 아주 만족하고 있습니다 😍
57,이번 업댓하고 난후 부터 잠금이 계속 자동 해지가 됩니다..껏다가 켜면 잠금이 되는데..몇번 썻다가 다시 어플 들어가면 또 자동 해지가 되요..설정을 다시햇다가 들어가도 그래요..왜 그런거죠?
58,토스에서 수수료 없이 사용할수 있어 넘 조아용~~ 한가지 아쉬운점은 내통장에 내용입력이 안된다는점....ㅠ 받는분은 되는데.. 내가 돈 사용내역을 입력할수 있었음 좋겠어요~~~
59,토스 잘 사용 중에 있는대요. 배터리가 너무 잘 소진돼서 배터리 문제인가 싶어 교체하고 사용하는데 크게 달라지는 게 없어 배터리 사용내역을 보니까 토스가 60%가 넘게 사용하고 있더라고요. 하루 이상을 사용하던 폰을 하루에도 잠깐씩 충전하며 사용하고 있습니다. 배터리 사용을 줄일 수 있는 방안 마련이 있었음 싶습니다.
60,해외주식 확인하려는데 계속 튕겨서 못들어가고있음. 주식사이트가 이렇게 허술해서야..가끔주십매입도 오류나고..진짜별로입니다. 그어떤 주식어플도 이런오류는 경험해보지 못했네요. 절대추천하지않습니다. 수수료도 미포함한 수익이라 주식할때도 정확한 수익이 판단되지않는 엉성한 어플입니다. 절대. 토스로주식하지마세요!
61,너무 너무 잘 쓰고 있어요 다른 앱처럼 토스앱도 잠금화면에서 드래그할때 캐시 주면 어떨까하고 생각해봤습니다 그런 기능도 있으면 감사하겠습니다 번창하세요
62,너무 만족하면서 사용하고 있어요.ᐟ.ᐟ 계좌이체할때 수수료도 안들어서 자주 사용할것 같고 또 가입 방법도 쉽고 체크카드 발급도 복잡하지 않다는게 너무 편리해요
63,편리하고 아주 잘 쓰고 있습니다! 다만 3~4달 정도 이전의 소비 내역은 선택적으로 삭제되는 듯 합니다. 예전의 소비 내역 및 패턴을 확인하고 싶은데 그렇지 못하는 것이 불편합니다.
64,잘사용하고있습니다. 하나추가되었음하는건데 모으기카테고리에 컬러사용가능하게도 좋을듯합니다.
65,토스뱅크 통장 입출금 알림 푸시가 안옵니다 다른은행 말고! 토스 통장 입출금이라고요! 핸드폰 설정상 앱 푸시 허용 했고 토스앱 내에서 입출금 알림 보내기 켜놨습니다. 핸드폰 껐다 켜도 안되고 앱도 지웠다 다시 깔아도 안돼요. 불편해 죽겠어요. 무슨 온라인 전용 은행이 지네 통장 입출금 알림도 못보내....
66,"요새 업데이트 할 때마다 앱이 엄청나게 무거워진다. 폰 사양에 관계없이 빠른 실행속도와 가벼운 동작이 토스 앱의 장점이었는데, 최근 이것저것 다 쳐넣다 보니 실행 속도는 물론이고 메뉴 뭐 하나 들어가려면 하세월이다. 이렇게 무거운 앱으로 무슨 서비스를 하겠다는건지 도통 모르겠다. 전에 비해 많이 무거워졌다는 걸 인지는 하고 있는지?"
67,"겔럭시노트 s10 어플 실행이 안되네요? 아~ 죄송 플레이스토어 업데이트 용량이 다찾네요 지우고 설치하니 잘됐네요, 플레이스토어 뿐만 아니라 삼성이나 통신사 어플로도 설치할수 있으면 좋겠습니다"
68,"은행까지 추가되어 금융업무가 굉장히 편해졌습니다. 다만, 멀티 기기 시대인 만큼 동시에 다른 기기에서도 사용 가능하게 해줬으면 좋겠습니다. 태블릿에서도 업무를 볼 수 있게 UI를 개편해 줬으면 합니다. 감사합니다."
69,평소 토스를 정말 정말 아주 잘 애용하고 있던 유저입니다. 이번 1월 1일 업데이트 이후 토스를 사용하기에 어려움이 생겼습니다. 인증을 여러 차례 했으나 인증이 되지 않은 듯 진행 되지 않습니다. 심지어 신분증 인증을 해 토스인증서를 받았으나 인증이 되지 않습니다. 빠른 개선 부탁드리겠습니다.
70,계좌 입력을 해놓았는데 갑자기 오류나듯 들어갈 때마다 금액이 바뀌어 있길래 계좌 연동 다시하려는데 또 안되길래 업데이트도 해보고 삭제하고 다시 깔았는데 이제는 계좌 연동도 아예 안되네요... 토스 잘 썼던 사람으로써 너무 아쉽고 실망이네요...🥺 +답글보고 다시 시행해봤는데 잘되더라구요! 항상 좋은 서비스 감사합니다! 잘 사용하고 있어욥😆
71,모으기 통장 순서 편집이 가능하거나 UI 개선됐으면... 모으기간 넣고 빼기가 됐으면.... 만점줄텐데...
72,토스 만보기를 안드로이드 빠른설정 타일에서 온오프 할 수 있으면 좋겠어요. 만보기 배터리 소모가 큰데 원할 때 키고 끄는게 불편해요
73,"강제로 마이데이터 쓰게 하려고 기존에 잘 쓰던사람까지 불편하게 만들고, 다른 오픈뱅킹 어플들에 비해 빠르고 가벼운게 최대 장점이었는데 이젠 온갖것들 덕지덕지...이젠 카드 추가든 계좌추가든 하려면 기존에 제외했던것들 다시 또 구분해서 제외해야하고 추가가 잘 되지도 않고...진짜 잘쓰고 있었는데 이젠 다른 어플들도 토스 못지 않아서 안쓸지 싶네"
74,"토스증권이용자입니다. 계좌에서 입출금 , 배당금등 따로보게한용도와 편의성을주고자하는노력은알고있으나 총합산을 직접 눈으로 엑셀에옴겨서 고객이직접 sum 하라는것으로출시했는지궁금합니다. 같은개발자로써 아주쉽게추가가능한 쉬운기능들마져도 안넣은이유를잘모르겠네요."
75,연말정산 미리보기를해서 PASS인증까지받고 결과확인하기전에 급여항목에서 버튼을잘못눌러서 급여가 300억으로됐는데 이게 한번하면 되돌릴수있는기능이전혀없어요 의도치않게 버튼을실수로잘못눌렀으연 되돌아가서 다시입력을해서 수정을해야되는데 그런기능이전혀되지 않아요 연말정산 미리보기 버튼잘못눌렀으면 다시 수정할수있게해주세요
76,토스앱 다운받기 잘한것 같아요.돌려받는 캐쉬백까지 있어서 좋더라구요.편하게 쇼핑하고 득템까지 하고있답니다..토스앱 꼭 앱하시면 다양한 이벤트도 있고 혜택과 적립금까지 받고 있어서 알찬쇼핑 하게되어 감사드립니다
77,마지막 최근 업데이트후 개선이 좀 된것같습니다. 이전글은 참고로-> 차라리 업데이트전이 나았습니다. 계좌 관리하기가 어렵고 까다롭네요. 다른 분들도 다 같은 글들이 대부분이니 꼭 참고하시면 좋겠습니다. 입.출금 계좌잔고 확인도 변동이 있어 확인하기도 힘듭니다.출금은 됐다느데 입금은 10여분후에 확인이 되어서 검색차 와서 봤더니 역시 다들 그러네요. 은행업무가 편리성이 있어야는데 더 어렵고 까다로워 졌네요. 업데이트전 장점이 도로 없어진듯 해요. 좋으것은 살리고 불편한건 줄이면서 더 발전 하시기를요.
78,만보기를 항상 켜 놓고 쓰고 있는데 몇주 전부터 '앱충돌 빈도가 높아 배터리 최적화에 문제가 있다'는 경고가 뜹니다. 시스템이 권고하는대로 토스를 '절전 상태'로 전환하면 문제가 사라지는 대신 만보기가 오동작하고요. 이번 업데이트로 해결됐나 살펴 보니 여전합니다. 해결 부탁 드립니다.
